,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,st_rad,st_mass,st_met,sy_dist,decade_of_discovery,pl_type,st_compactness
0,11 Com b,11 Com,2,1,Radial Velocity,2007,326.03,12.1,19.0,2.7,-0.35,93.1846,2000s,Jovian,0.14210526315789473
1,11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,12.3,29.79,2.78,-0.02,125.321,2000s,Jovian,0.09331990600872776
2,14 And b,14 And,1,1,Radial Velocity,2008,185.84,12.9,11.0,2.2,-0.24,75.4392,2000s,Jovian,0.2
3,14 Her b,14 Her,1,2,Radial Velocity,2002,1773.40002,12.9,0.93,0.9,0.41,17.9323,2000s,Jovian,0.9677419354838709
4,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,13.5,1.13,1.08,0.06,21.1397,1990s,Jovian,0.9557522123893807
5,17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,12.9,25.92,1.22,-0.01,124.953,2020s,Jovian,0.047067901234567895
6,18 Del b,18 Del,2,1,Radial Velocity,2008,993.3,12.5,8.5,2.3,-0.052,76.222,2000s,Jovian,0.27058823529411763
7,24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,13.9,10.64,0.99,-0.77,95.9863,2010s,Jovian,0.09304511278195488
8,24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,13.4,4.9,1.54,-0.03,72.0691,2010s,Jovian,0.3142857142857143
9,24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,13.9,4.9,1.54,-0.03,72.0691,2010s,Jovian,0.3142857142857143
10,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,13.4,0.2,0.48,-0.092,396.332,2010s,Jovian,2.4
11,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,12.3,1.41,1.93,0.19,44.657,2000s,Jovian,1.3687943262411348
12,4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,12.7,18.11,1.23,-0.25,73.4603,2000s,Jovian,0.06791827719491994
13,42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,13.0,22.03,0.98,-0.46,90.6545,2000s,Jovian,0.04448479346345892
14,47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,13.2,1.21,1.06,0.04,13.7967,1990s,Jovian,0.8760330578512397
15,47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,14.2,1.21,1.06,0.04,13.7967,2000s,Jovian,0.8760330578512397
16,47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.0,13.5,1.21,1.06,0.04,13.7967,2000s,Jovian,0.8760330578512397
17,51 Eri b,51 Eri,3,1,Imaging,2015,11688.0,13.4,1.49,1.75,-0.027,29.7575,2010s,Jovian,1.174496644295302
18,51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,14.3,1.18,1.03,0.18,15.4614,1990s,Jovian,0.8728813559322035
