# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 30 01:49:21 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_bmassprov,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,sy_dist
11 Com b,11 Com,2,1,Radial Velocity,2007,326.03000000,12.100,6165.60000,Msini,0.231000,G8 III,4742.00,19.00,2.70,-0.350,[Fe/H],93.1846000
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997000,12.300,4684.81420,Msini,0.080000,K4 III,4213.00,29.79,2.78,-0.020,[Fe/H],125.3210000
14 And b,14 And,1,1,Radial Velocity,2008,185.84000000,12.900,1525.50000,Msini,0.000000,K0 III,4813.00,11.00,2.20,-0.240,[Fe/H],75.4392000
14 Her b,14 Her,1,2,Radial Velocity,2002,1773.40002000,12.900,1481.08780,Msini,0.370000,K0 V,5338.00,0.93,0.90,0.410,[Fe/H],17.9323000
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.50000000,13.500,565.73740,Msini,0.680000,G3 V,5750.00,1.13,1.08,0.060,[Fe/H],21.1397000
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38000000,12.900,1373.01872,Msini,0.060000,K3 III,4157.00,25.92,1.22,-0.010,[Fe/H],124.9530000
18 Del b,18 Del,2,1,Radial Velocity,2008,993.30000000,12.500,3273.50000,Msini,0.080000,G6 III,4979.00,8.50,2.30,-0.052,[Fe/H],76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,18.647,3000.00000,Mass,,K7 V,4060.00,1.31,0.85,,,139.1350000
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.35060000,13.900,289.22530,Msini,0.042000,G3 IV,4893.00,10.64,0.99,-0.770,[Fe/H],95.9863000
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.80000000,13.400,632.46000,Msini,0.090000,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],72.0691000
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.00000000,13.900,273.32000,Msini,0.290000,K0 IV,5098.00,4.90,1.54,-0.030,[Fe/H],72.0691000
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,13.000,1271.31363,Mass,,M V,3100.00,0.84,0.17,0.010,[Fe/H],128.4840000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,12.300,4131.79000,Mass,,M5.5/M6,,,0.19,,,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,11.209,7786.50000,Mass,,M3.5 V,3530.00,0.37,0.40,,,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,16.141,4417.83700,Mass,,M6,3064.00,0.28,0.11,,,40.0896412
